# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416274915;-40616.65;0.33;39376.12
axle;61;1416274975;-8286.25;0.23;9396.57
axle;60;1416275035;-20349.93;0.23;13947.57
axle;60;1416275095;727.11;0.22;645.37
axle;60;1416275155;4628.30;0.32;67.75
axle;60;1416275215;-653.50;0.20;1359.45
axle;60;1416275275;-1967.72;0.32;1986.89
axle;60;1416275335;-3277.60;0.18;3492.51
axle;60;1416275395;-5928.46;0.20;5870.84
axle;60;1416275455;-4939.47;0.22;3792.92
axle;60;1416275515;-560.52;0.18;1777.83
